Subject,Score,L1,Condition
subj66,124,Arabic,correctTarget
subj67,141,Arabic,correctTarget
subj68,148,Arabic,noCorrect
subj69,155,Arabic,noCorrect
subj70,160,Arabic,noCorrect
subj71,160,Arabic,noCorrect
subj72,157,Arabic,noCorrect
subj73,41,Arabic,correctAll
subj74,49,Arabic,correctAll
subj75,57,Arabic,correctAll
subj76,71,Arabic,correctTarget
subj77,89,Arabic,correctTarget
subj78,112,Arabic,correctTarget
subj79,146,Arabic,correctTarget
subj80,174,Arabic,noCorrect
subj81,218,Arabic,noCorrect
subj82,250,Arabic,noCorrect
subj83,288,Arabic,noCorrect
subj84,305,Arabic,noCorrect
subj85,42,Arabic,correctAll
subj86,50,Arabic,correctAll
subj87,61,Arabic,correctAll
subj88,71,Arabic,correctTarget
subj89,84,Arabic,correctTarget
subj90,93,Arabic,correctTarget
subj91,110,Arabic,correctTarget
subj92,116,Arabic,noCorrect
subj93,126,Arabic,noCorrect
subj94,134,Arabic,noCorrect
subj95,125,Arabic,noCorrect
subj96,42,Arabic,correctAll
subj97,51,Arabic,correctAll
subj98,59,Arabic,correctAll
subj99,68,Arabic,correctTarget
subj100,85,Arabic,correctTarget
subj101,96,Arabic,correctTarget
subj102,90,Arabic,correctTarget
subj103,92,Arabic,noCorrect
subj104,93,Arabic,noCorrect
subj105,100,Arabic,noCorrect
subj106,100,Arabic,noCorrect
subj107,98,Arabic,noCorrect
subj108,41,Arabic,correctAll
subj109,44,Arabic,correctAll
subj110,52,Arabic,correctAll
subj111,63,Arabic,correctTarget
subj112,74,Arabic,correctTarget
subj113,81,Arabic,correctTarget
subj114,89,Arabic,correctTarget
subj115,96,Arabic,noCorrect
subj116,101,Arabic,noCorrect
subj117,112,Arabic,noCorrect
subj118,120,Arabic,noCorrect
subj119,124,Arabic,noCorrect
subj120,43,Arabic,correctAll
subj121,51,Arabic,correctAll
subj122,63,Arabic,correctAll
subj123,84,Arabic,correctTarget
subj124,112,Arabic,correctTarget
subj125,139,Arabic,correctTarget
subj126,168,Arabic,correctTarget
subj127,177,Arabic,noCorrect
subj128,182,Arabic,noCorrect
subj129,184,Arabic,noCorrect
subj130,181,Arabic,noCorrect
subj131,175,Arabic,noCorrect
subj132,41,Arabic,correctAll
subj133,49,Arabic,correctAll
subj134,56,Arabic,correctAll
subj135,62,Arabic,correctTarget
subj136,72,Arabic,correctTarget
subj137,88,Arabic,correctTarget
subj138,119,Arabic,correctTarget
subj139,135,Arabic,noCorrect
subj140,162,Arabic,noCorrect
subj141,185,Arabic,noCorrect
subj142,195,Arabic,noCorrect
subj143,205,Arabic,noCorrect
subj144,41,Arabic,correctAll
subj145,48,Arabic,correctAll
subj146,53,Arabic,correctAll
subj147,60,Arabic,correctTarget
subj148,65,Arabic,correctTarget
subj149,67,Arabic,correctTarget
subj150,71,Arabic,correctTarget
subj151,70,Arabic,noCorrect
subj152,71,Arabic,noCorrect
subj153,81,Arabic,noCorrect
subj154,91,Arabic,noCorrect
subj155,96,Arabic,noCorrect
subj156,41,Arabic,correctAll
subj157,49,Arabic,correctAll
subj158,62,Arabic,correctAll
subj159,79,Arabic,correctTarget
subj160,101,Arabic,correctTarget
subj161,128,Arabic,correctTarget
subj162,164,Arabic,correctTarget
subj163,192,Arabic,noCorrect
subj164,227,Arabic,noCorrect
subj165,248,Arabic,noCorrect
subj166,259,Arabic,noCorrect
subj167,266,Arabic,noCorrect
subj168,41,Arabic,correctAll
subj169,49,Arabic,correctAll
subj170,56,Arabic,correctAll
subj171,64,Arabic,correctTarget
subj172,68,Arabic,correctTarget
subj173,68,Arabic,correctTarget
subj174,67,Arabic,correctTarget
subj175,68,Arabic,noCorrect
subj176,41,Arabic,correctAll
subj177,45,Arabic,correctAll
subj178,49,Arabic,correctAll
subj179,51,Arabic,correctTarget
subj180,57,Arabic,correctTarget
subj181,51,Arabic,correctTarget
subj182,54,Arabic,correctTarget
subj183,42,Arabic,correctAll
subj184,51,Arabic,correctAll
subj185,61,Arabic,correctAll
subj186,72,Arabic,correctTarget
subj187,83,Arabic,correctTarget
subj188,89,Arabic,correctTarget
subj189,98,Arabic,correctTarget
subj190,103,Arabic,noCorrect
subj191,113,Arabic,noCorrect
subj192,123,Arabic,noCorrect
subj193,133,Arabic,noCorrect
subj194,142,Arabic,noCorrect
subj195,39,Arabic,correctAll
subj196,35,Arabic,correctAll
subj197,43,Arabic,correctAll
subj198,48,Arabic,correctAll
subj199,55,Arabic,correctAll
subj200,62,Arabic,correctTarget
subj201,65,Arabic,correctTarget
subj202,71,Arabic,correctTarget
subj203,82,Arabic,correctTarget
subj204,88,Arabic,noCorrect
subj205,106,Arabic,noCorrect
subj206,120,Arabic,noCorrect
subj207,144,Arabic,noCorrect
subj208,157,Arabic,noCorrect
subj209,41,Arabic,correctAll
subj210,47,Arabic,correctAll
subj211,54,Arabic,correctAll
subj212,58,Arabic,correctTarget
subj213,65,Arabic,correctTarget
subj214,73,Arabic,correctTarget
subj215,77,Arabic,correctTarget
subj216,89,Arabic,noCorrect
subj217,98,Arabic,noCorrect
subj218,107,Arabic,noCorrect
subj219,115,Arabic,noCorrect
subj220,117,Arabic,noCorrect
subj221,40,Japanese,correctAll
subj222,50,Japanese,correctAll
subj223,62,Japanese,correctAll
subj224,86,Japanese,correctTarget
subj225,125,Japanese,correctTarget
subj226,163,Japanese,correctTarget
subj227,217,Japanese,correctTarget
subj228,240,Japanese,noCorrect
subj229,275,Japanese,noCorrect
subj230,307,Japanese,noCorrect
subj231,318,Japanese,noCorrect
subj232,331,Japanese,noCorrect
subj233,41,Japanese,correctAll
subj234,55,Japanese,correctAll
subj235,64,Japanese,correctAll
subj236,77,Japanese,correctTarget
subj237,90,Japanese,correctTarget
subj238,95,Japanese,correctTarget
subj239,108,Japanese,correctTarget
subj240,111,Japanese,noCorrect
subj241,131,Japanese,noCorrect
subj242,148,Japanese,noCorrect
subj243,164,Japanese,noCorrect
subj244,167,Japanese,noCorrect
subj245,43,Japanese,correctAll
subj246,52,Japanese,correctAll
subj247,61,Japanese,correctAll
subj248,73,Japanese,correctTarget
subj249,90,Japanese,correctTarget
subj250,103,Japanese,correctTarget
subj251,127,Japanese,correctTarget
subj252,135,Japanese,noCorrect
subj253,145,Japanese,noCorrect
subj254,163,Japanese,noCorrect
subj255,170,Japanese,noCorrect
subj256,175,Japanese,noCorrect
subj257,42,Japanese,correctAll
subj258,52,Japanese,correctAll
subj259,58,Japanese,correctAll
subj260,74,Japanese,correctTarget
subj261,66,Japanese,correctTarget
subj262,68,Japanese,correctTarget
subj263,70,Japanese,correctTarget
subj264,71,Japanese,noCorrect
subj265,72,Japanese,noCorrect
subj266,72,Japanese,noCorrect
subj267,76,Japanese,noCorrect
subj268,74,Japanese,noCorrect
subj269,40,Japanese,correctAll
subj270,49,Japanese,correctAll
subj271,62,Japanese,correctAll
subj272,78,Japanese,correctTarget
subj273,102,Japanese,correctTarget
subj274,124,Japanese,correctTarget
subj275,146,Japanese,correctTarget
subj276,164,Japanese,noCorrect
subj277,197,Japanese,noCorrect
subj278,231,Japanese,noCorrect
subj279,259,Japanese,noCorrect
subj280,265,Japanese,noCorrect
subj281,42,Japanese,correctAll
subj282,48,Japanese,correctAll
subj283,57,Japanese,correctAll
subj284,74,Japanese,correctTarget
subj285,93,Japanese,correctTarget
subj286,114,Japanese,correctTarget
subj287,136,Japanese,correctTarget
subj288,147,Japanese,noCorrect
subj289,169,Japanese,noCorrect
subj290,205,Japanese,noCorrect
subj291,236,Japanese,noCorrect
subj292,251,Japanese,noCorrect
subj293,39,Japanese,correctAll
subj294,46,Japanese,correctAll
subj295,58,Japanese,correctAll
subj296,73,Japanese,correctTarget
subj297,87,Japanese,correctTarget
subj298,100,Japanese,correctTarget
subj299,115,Japanese,correctTarget
subj300,123,Japanese,noCorrect
subj301,144,Japanese,noCorrect
subj302,163,Japanese,noCorrect
subj303,185,Japanese,noCorrect
subj304,192,Japanese,noCorrect
subj305,39,Japanese,correctAll
subj306,46,Japanese,correctAll
subj307,58,Japanese,correctAll
subj308,73,Japanese,correctTarget
subj309,92,Japanese,correctTarget
subj310,114,Japanese,correctTarget
subj311,145,Japanese,correctTarget
subj312,156,Japanese,noCorrect
subj313,184,Japanese,noCorrect
subj314,207,Japanese,noCorrect
subj315,212,Japanese,noCorrect
subj316,233,Japanese,noCorrect
subj317,39,Japanese,correctAll
subj318,48,Japanese,correctAll
subj319,59,Japanese,correctAll
subj320,74,Japanese,correctTarget
subj321,87,Japanese,correctTarget
subj322,106,Japanese,correctTarget
subj323,134,Japanese,correctTarget
subj324,150,Japanese,noCorrect
subj325,187,Japanese,noCorrect
subj326,230,Japanese,noCorrect
subj327,279,Japanese,noCorrect
subj328,309,Japanese,noCorrect
subj329,42,Japanese,correctAll
subj330,48,Japanese,correctAll
subj331,59,Japanese,correctAll
subj332,72,Japanese,correctTarget
subj333,85,Japanese,correctTarget
subj334,98,Japanese,correctTarget
subj335,115,Japanese,correctTarget
subj336,122,Japanese,noCorrect
subj337,143,Japanese,noCorrect
subj338,151,Japanese,noCorrect
subj339,157,Japanese,noCorrect
subj340,150,Japanese,noCorrect
subj341,42,Spanish,correctAll
subj342,53,Spanish,correctAll
subj343,62,Spanish,correctAll
subj344,73,Spanish,correctTarget
subj345,85,Spanish,correctTarget
subj346,102,Spanish,correctTarget
subj347,123,Spanish,correctTarget
subj348,138,Spanish,noCorrect
subj349,170,Spanish,noCorrect
subj350,204,Spanish,noCorrect
subj351,235,Spanish,noCorrect
subj352,256,Spanish,noCorrect
subj353,41,Spanish,correctAll
subj354,49,Spanish,correctAll
subj355,65,Spanish,correctAll
subj356,82,Spanish,correctTarget
subj357,107,Spanish,correctTarget
subj358,129,Spanish,correctTarget
subj359,159,Spanish,correctTarget
subj360,179,Spanish,noCorrect
subj361,221,Spanish,noCorrect
subj362,263,Spanish,noCorrect
subj363,291,Spanish,noCorrect
subj364,305,Spanish,noCorrect
subj365,39,Spanish,correctAll
subj366,50,Spanish,correctAll
subj367,63,Spanish,correctAll
subj368,77,Spanish,correctTarget
subj369,96,Spanish,correctTarget
subj370,111,Spanish,correctTarget
subj371,137,Spanish,correctTarget
subj372,144,Spanish,noCorrect
subj373,151,Spanish,noCorrect
subj374,146,Spanish,noCorrect
subj375,156,Spanish,noCorrect
subj376,147,Spanish,noCorrect
subj377,41,Spanish,correctAll
subj378,49,Spanish,correctAll
subj379,63,Spanish,correctAll
subj380,85,Spanish,correctTarget
subj381,107,Spanish,correctTarget
subj382,134,Spanish,correctTarget
subj383,164,Spanish,correctTarget
subj384,186,Spanish,noCorrect
subj385,235,Spanish,noCorrect
subj386,294,Spanish,noCorrect
subj387,327,Spanish,noCorrect
subj388,341,Spanish,noCorrect
subj389,41,Spanish,correctAll
subj390,53,Spanish,correctAll
subj391,64,Spanish,correctAll
subj392,87,Spanish,correctTarget
subj393,123,Spanish,correctTarget
subj394,158,Spanish,correctTarget
subj395,201,Spanish,correctTarget
subj396,238,Spanish,noCorrect
subj397,287,Spanish,noCorrect
subj398,332,Spanish,noCorrect
subj399,361,Spanish,noCorrect
subj400,373,Spanish,noCorrect
subj401,39,Spanish,correctAll
subj402,48,Spanish,correctAll
subj403,61,Spanish,correctAll
subj404,76,Spanish,correctTarget
subj405,98,Spanish,correctTarget
subj406,116,Spanish,correctTarget
subj407,145,Spanish,correctTarget
subj408,166,Spanish,noCorrect
subj409,198,Spanish,noCorrect
subj410,227,Spanish,noCorrect
subj411,225,Spanish,noCorrect
subj412,220,Spanish,noCorrect
subj413,41,Spanish,correctAll
subj414,48,Spanish,correctAll
subj415,56,Spanish,correctAll
subj416,68,Spanish,correctTarget
subj417,80,Spanish,correctTarget
subj418,83,Spanish,correctTarget
subj419,103,Spanish,correctTarget
subj420,112,Spanish,noCorrect
subj421,135,Spanish,noCorrect
subj422,157,Spanish,noCorrect
subj423,169,Spanish,noCorrect
subj424,178,Spanish,noCorrect
subj425,41,Spanish,correctAll
subj426,49,Spanish,correctAll
subj427,61,Spanish,correctAll
subj428,74,Spanish,correctTarget
subj429,98,Spanish,correctTarget
subj430,109,Spanish,correctTarget
subj431,128,Spanish,correctTarget
subj432,154,Spanish,noCorrect
subj433,192,Spanish,noCorrect
subj434,232,Spanish,noCorrect
subj435,280,Spanish,noCorrect
subj436,290,Spanish,noCorrect
subj437,42,Spanish,correctAll
subj438,50,Spanish,correctAll
subj439,61,Spanish,correctAll
subj440,78,Spanish,correctTarget
subj441,89,Spanish,correctTarget
subj442,109,Spanish,correctTarget
subj443,130,Spanish,correctTarget
subj444,146,Spanish,noCorrect
subj445,170,Spanish,noCorrect
subj446,214,Spanish,noCorrect
subj447,250,Spanish,noCorrect
subj448,272,Spanish,noCorrect
subj449,41,Spanish,correctAll
subj450,55,Spanish,correctAll
subj451,66,Spanish,correctAll
subj452,79,Spanish,correctTarget
subj453,101,Spanish,correctTarget
subj454,120,Spanish,correctTarget
subj455,154,Spanish,correctTarget
subj456,182,Spanish,noCorrect
subj457,215,Spanish,noCorrect
subj458,262,Spanish,noCorrect
subj459,295,Spanish,noCorrect
subj460,321,Spanish,noCorrect
subj461,42,Russian,correctAll
subj462,51,Russian,correctAll
subj463,66,Russian,correctAll
subj464,85,Russian,correctTarget
subj465,103,Russian,correctTarget
subj466,124,Russian,correctTarget
subj467,155,Russian,correctTarget
subj468,153,Russian,noCorrect
subj469,175,Russian,noCorrect
subj470,184,Russian,noCorrect
subj471,199,Russian,noCorrect
subj472,204,Russian,noCorrect
subj473,42,Russian,correctAll
subj474,49,Russian,correctAll
subj475,63,Russian,correctAll
subj476,84,Russian,correctTarget
subj477,103,Russian,correctTarget
subj478,126,Russian,correctTarget
subj479,160,Russian,correctTarget
subj480,174,Russian,noCorrect
subj481,204,Russian,noCorrect
subj482,234,Russian,noCorrect
subj483,269,Russian,noCorrect
subj484,281,Russian,noCorrect
subj485,42,Russian,correctAll
subj486,55,Russian,correctAll
subj487,69,Russian,correctAll
subj488,96,Russian,correctTarget
subj489,131,Russian,correctTarget
subj490,157,Russian,correctTarget
subj491,184,Russian,correctTarget
subj492,188,Russian,noCorrect
subj493,197,Russian,noCorrect
subj494,198,Russian,noCorrect
subj495,199,Russian,noCorrect
subj496,200,Russian,noCorrect
subj497,42,Russian,correctAll
subj498,51,Russian,correctAll
subj499,65,Russian,correctAll
subj500,86,Russian,correctTarget
subj501,103,Russian,correctTarget
subj502,118,Russian,correctTarget
subj503,127,Russian,correctTarget
subj504,138,Russian,noCorrect
subj505,145,Russian,noCorrect
subj506,146,Russian,noCorrect
subj507,41,Russian,correctAll
subj508,50,Russian,correctAll
subj509,61,Russian,correctAll
subj510,78,Russian,correctTarget
subj511,98,Russian,correctTarget
subj512,117,Russian,correctTarget
subj513,135,Russian,correctTarget
subj514,141,Russian,noCorrect
subj515,147,Russian,noCorrect
subj516,174,Russian,noCorrect
subj517,197,Russian,noCorrect
subj518,196,Russian,noCorrect
subj519,40,Russian,correctAll
subj520,52,Russian,correctAll
subj521,62,Russian,correctAll
subj522,82,Russian,correctTarget
subj523,101,Russian,correctTarget
subj524,120,Russian,correctTarget
subj525,144,Russian,correctTarget
subj526,156,Russian,noCorrect
subj527,173,Russian,noCorrect
subj528,210,Russian,noCorrect
subj529,231,Russian,noCorrect
subj530,238,Russian,noCorrect
subj531,41,Russian,correctAll
subj532,53,Russian,correctAll
subj533,66,Russian,correctAll
subj534,79,Russian,correctTarget
subj535,100,Russian,correctTarget
subj536,123,Russian,correctTarget
subj537,148,Russian,correctTarget
subj538,157,Russian,noCorrect
subj539,168,Russian,noCorrect
subj540,185,Russian,noCorrect
subj541,210,Russian,noCorrect
subj542,205,Russian,noCorrect
subj543,39,Russian,correctAll
subj544,50,Russian,correctAll
subj545,62,Russian,correctAll
subj546,80,Russian,correctTarget
subj547,104,Russian,correctTarget
subj548,125,Russian,correctTarget
subj549,154,Russian,correctTarget
subj550,170,Russian,noCorrect
subj551,222,Russian,noCorrect
subj552,261,Russian,noCorrect
subj553,303,Russian,noCorrect
subj554,322,Russian,noCorrect
subj555,40,Russian,correctAll
subj556,53,Russian,correctAll
subj557,64,Russian,correctAll
subj558,85,Russian,correctTarget
subj559,108,Russian,correctTarget
subj560,128,Russian,correctTarget
subj561,152,Russian,correctTarget
subj562,166,Russian,noCorrect
subj563,184,Russian,noCorrect
subj564,203,Russian,noCorrect
subj565,233,Russian,noCorrect
subj566,237,Russian,noCorrect
subj567,41,Russian,correctAll
subj568,54,Russian,correctAll
subj569,67,Russian,correctAll
subj570,84,Russian,correctTarget
subj571,105,Russian,correctTarget
subj572,122,Russian,correctTarget
subj573,155,Russian,correctTarget
subj574,175,Russian,noCorrect
subj575,205,Russian,noCorrect
subj576,234,Russian,noCorrect
subj577,264,Russian,noCorrect
subj578,264,Russian,noCorrect
